12636723,3,-162.457,-411.45,1038.41,0.8029,-0.354827,0.326218,-0.350757,2,5,-75.333,-311.776,1108.61,-0.274463,0.695571,0.513745,-0.420615,2,6,-48.9098,-100.572,1040.91,0.216272,0.800724,-0.326488,-0.453291,2,7,21.5525,-235.347,931.295,0.699972,0.507575,-0.367489,-0.342578,2
12636752,3,-166.815,-421.788,1039.96,0.794603,-0.360463,0.335158,-0.355444,2,5,-78.1103,-320.752,1110.34,-0.258375,0.71115,0.509945,-0.409224,2,6,-45.403,-109.427,1038.48,0.2205,0.80111,-0.352139,-0.430815,2,7,26.6966,-252.226,937.193,0.707311,0.517381,-0.392188,-0.279672,2
12636782,3,-166.819,-421.79,1039.97,0.794595,-0.360471,0.33516,-0.355453,2,5,-78.1101,-320.755,1110.34,-0.258371,0.711177,0.509908,-0.409226,2,6,-45.3867,-109.437,1038.47,0.220508,0.801088,-0.352188,-0.43081,2,7,26.7013,-252.249,937.194,0.707303,0.517333,-0.392251,-0.279694,2
12636811,3,-168.392,-419.563,1034.98,0.790878,-0.359954,0.348284,-0.35163,2,5,-78.3459,-322.961,1107.83,-0.259492,0.72092,0.50233,-0.400752,2,6,-39.2817,-113.811,1036.69,0.212663,0.799516,-0.364466,-0.427449,2,7,30.1811,-257.782,937.178,0.705281,0.510395,-0.42011,-0.256093,2
12636839,3,-168.105,-418.626,1035.04,0.791595,-0.359059,0.347969,-0.351242,2,5,-78.2131,-322.426,1108.18,-0.258612,0.723284,0.500373,-0.399509,2,6,-37.8703,-113.93,1036.67,0.212341,0.798778,-0.368057,-0.42591,2,7,31.0146,-258.532,938.101,0.704971,0.509372,-0.422333,-0.255325,2
12636868,3,-167.919,-418.508,1034.53,0.792048,-0.357564,0.348901,-0.350822,2,5,-78.1297,-322.762,1108.4,-0.258405,0.725921,0.499087,-0.396457,2,6,-36.1244,-114.495,1037.22,0.209963,0.798886,-0.371255,-0.424107,2,7,32.444,-259.541,939.104,0.703392,0.509178,-0.427391,-0.251625,2
12636894,3,-167.261,-413.912,1031.64,0.804652,-0.343217,0.350077,-0.334938,2,5,-79.6601,-321.274,1108.4,-0.25511,0.731775,0.495035,-0.392892,2,6,-35.0508,-116.145,1036.9,0.205394,0.80121,-0.372313,-0.421021,2,7,33.4923,-259.384,939.788,0.620084,0.609062,-0.46406,-0.170843,2
12636921,3,-165.201,-414.136,1033.53,0.804615,-0.346902,0.347882,-0.333514,2,5,-78.2753,-320.229,1110.04,-0.246716,0.733486,0.494727,-0.395442,2,6,-34.3533,-115.688,1035.41,0.212098,0.801651,-0.374317,-0.415039,2,7,35.6041,-260.391,940.963,0.620225,0.604399,-0.471874,-0.165403,2
12636949,3,-162.29,-417.235,1043.28,0.814282,-0.341535,0.346078,-0.317063,2,5,-76.0828,-319.453,1114.38,-0.250258,0.730321,0.48677,-0.408726,2,6,-33.5456,-116.606,1036.09,0.217946,0.796451,-0.368754,-0.426832,2,7,34.0789,-260.428,939.554,0.679909,0.558422,-0.440019,-0.179644,2
12636976,3,-161.258,-416.477,1042.45,0.814438,-0.342441,0.346219,-0.315527,2,5,-75.2765,-318.634,1113.77,-0.254317,0.727935,0.489484,-0.407233,2,6,-33.3698,-114.841,1037.57,0.215464,0.796744,-0.366993,-0.429059,2,7,34.0341,-257.979,939.838,0.673696,0.5698,-0.440881,-0.164577,2
12637004,3,-159.753,-414.769,1040.16,0.815015,-0.340958,0.34648,-0.315357,2,5,-74.8293,-318.008,1113.68,-0.253468,0.728055,0.488711,-0.408475,2,6,-33.1402,-114.959,1036.98,0.216787,0.796299,-0.367165,-0.42907,2,7,34.0456,-257.942,939.748,0.671616,0.569152,-0.447796,-0.156448,2
12637032,3,-159.774,-413.37,1039.93,0.81211,-0.343963,0.346252,-0.319806,2,5,-73.9574,-317.443,1114.01,-0.256246,0.725991,0.488108,-0.411128,2,6,-32.8843,-113.81,1037.2,0.216905,0.7953,-0.36443,-0.433175,2,7,33.8684,-256.494,938.506,0.634654,0.610914,-0.459224,-0.114505,2
12637059,3,-160.266,-405.072,1038,0.817724,-0.332114,0.344798,-0.319597,2,5,-73.3933,-312.439,1114.81,-0.251811,0.726236,0.489906,-0.411296,2,6,-33.0881,-108.597,1037,0.220957,0.795606,-0.366658,-0.428662,2,7,34.6269,-252.523,940.153,0.620807,0.633288,-0.447919,-0.113636,2
12637085,3,-160.054,-405.537,1038.72,0.817484,-0.333154,0.343852,-0.320148,2,5,-73.2574,-312.538,1115.51,-0.25093,0.726088,0.490603,-0.411265,2,6,-33.2007,-108.446,1037.54,0.221055,0.796409,-0.365551,-0.428065,2,7,35.0808,-252.276,940.557,0.620857,0.634683,-0.446232,-0.112212,2
12637112,3,-159.121,-407.573,1041.48,0.814489,-0.341656,0.328453,-0.334659,2,5,-71.388,-313.38,1117.98,-0.240284,0.717977,0.50227,-0.41773,2,6,-38.5355,-106.561,1037.57,0.229246,0.804531,-0.347123,-0.423888,2,7,36.7079,-248.311,939.122,0.564094,0.673952,-0.470572,-0.0784144,2
12637140,3,-158.904,-407.509,1041.73,0.813189,-0.340712,0.333479,-0.333813,2,5,-70.5416,-313.159,1118.91,-0.242113,0.712463,0.505068,-0.42271,2,6,-40.7012,-104.892,1038.3,0.233963,0.802864,-0.343665,-0.427275,2,7,34.6863,-247.052,938.97,0.595714,0.658946,-0.449858,-0.092422,2
