-47.6397,-88.2937,1936.27,0.244126,0.683121,-0.629106,-0.279239
-47.6397,-88.2937,1936.27,0.244126,0.683121,-0.629106,-0.279239
-38.5477,-231.381,1924.12,0.23509,0.702849,-0.606985,-0.286888
-47.6397,-88.2937,1936.27,0.244126,0.683121,-0.629106,-0.279239
-38.5477,-231.381,1924.12,0.23509,0.702849,-0.606985,-0.286888
-27.21,-345.047,1910.55,0.240688,0.678942,-0.663593,-0.201872
-47.6397,-88.2937,1936.27,0.244126,0.683121,-0.629106,-0.279239
-38.5477,-231.381,1924.12,0.23509,0.702849,-0.606985,-0.286888
-27.21,-345.047,1910.55,0.240688,0.678942,-0.663593,-0.201872
-19.9837,-519.839,1918.04,-0.256101,-0.62354,0.715902,0.18192
-47.6397,-88.2937,1936.27,0.244126,0.683121,-0.629106,-0.279239
-38.5477,-231.381,1924.12,0.23509,0.702849,-0.606985,-0.286888
-27.21,-345.047,1910.55,0.240688,0.678942,-0.663593,-0.201872
-19.9837,-519.839,1918.04,-0.256101,-0.62354,0.715902,0.18192
-36.6218,-492.793,1894.49,0.365033,-0.202651,0.639774,0.645269
-47.6397,-88.2937,1936.27,0.244126,0.683121,-0.629106,-0.279239
-38.5477,-231.381,1924.12,0.23509,0.702849,-0.606985,-0.286888
-27.21,-345.047,1910.55,0.240688,0.678942,-0.663593,-0.201872
-19.9837,-519.839,1918.04,-0.256101,-0.62354,0.715902,0.18192
-36.6218,-492.793,1894.49,0.365033,-0.202651,0.639774,0.645269
-111.721,-468.375,1810.49,0.316187,0.214056,0.557674,0.737025
-47.6397,-88.2937,1936.27,0.244126,0.683121,-0.629106,-0.279239
-38.5477,-231.381,1924.12,0.23509,0.702849,-0.606985,-0.286888
-27.21,-345.047,1910.55,0.240688,0.678942,-0.663593,-0.201872
-19.9837,-519.839,1918.04,-0.256101,-0.62354,0.715902,0.18192
-36.6218,-492.793,1894.49,0.365033,-0.202651,0.639774,0.645269
-111.721,-468.375,1810.49,0.316187,0.214056,0.557674,0.737025
-269.611,-311.285,1802.21,0.311581,0.217533,0.556327,0.738984
-47.6397,-88.2937,1936.27,0.244126,0.683121,-0.629106,-0.279239
-38.5477,-231.381,1924.12,0.23509,0.702849,-0.606985,-0.286888
-27.21,-345.047,1910.55,0.240688,0.678942,-0.663593,-0.201872
-19.9837,-519.839,1918.04,-0.256101,-0.62354,0.715902,0.18192
-36.6218,-492.793,1894.49,0.365033,-0.202651,0.639774,0.645269
-111.721,-468.375,1810.49,0.316187,0.214056,0.557674,0.737025
-269.611,-311.285,1802.21,0.311581,0.217533,0.556327,0.738984
-402.65,-179.864,1797.5,0.273128,-0.199142,-0.230299,0.912527
-47.6397,-88.2937,1936.27,0.244126,0.683121,-0.629106,-0.279239
-38.5477,-231.381,1924.12,0.23509,0.702849,-0.606985,-0.286888
-27.21,-345.047,1910.55,0.240688,0.678942,-0.663593,-0.201872
-19.9837,-519.839,1918.04,-0.256101,-0.62354,0.715902,0.18192
-36.6218,-492.793,1894.49,0.365033,-0.202651,0.639774,0.645269
-111.721,-468.375,1810.49,0.316187,0.214056,0.557674,0.737025
-269.611,-311.285,1802.21,0.311581,0.217533,0.556327,0.738984
-402.65,-179.864,1797.5,0.273128,-0.199142,-0.230299,0.912527
-466.598,-139.971,1778.77,0.565702,-0.109501,-0.284086,0.766346
-47.6397,-88.2937,1936.27,0.244126,0.683121,-0.629106,-0.279239
-38.5477,-231.381,1924.12,0.23509,0.702849,-0.606985,-0.286888
-27.21,-345.047,1910.55,0.240688,0.678942,-0.663593,-0.201872
-19.9837,-519.839,1918.04,-0.256101,-0.62354,0.715902,0.18192
-36.6218,-492.793,1894.49,0.365033,-0.202651,0.639774,0.645269
-111.721,-468.375,1810.49,0.316187,0.214056,0.557674,0.737025
-269.611,-311.285,1802.21,0.311581,0.217533,0.556327,0.738984
-402.65,-179.864,1797.5,0.273128,-0.199142,-0.230299,0.912527
-466.598,-139.971,1778.77,0.565702,-0.109501,-0.284086,0.766346
-495.878,-58.9868,1792.16,0.565702,-0.109501,-0.284086,0.766346
-47.6397,-88.2937,1936.27,0.244126,0.683121,-0.629106,-0.279239
-38.5477,-231.381,1924.12,0.23509,0.702849,-0.606985,-0.286888
-27.21,-345.047,1910.55,0.240688,0.678942,-0.663593,-0.201872
-19.9837,-519.839,1918.04,-0.256101,-0.62354,0.715902,0.18192
-36.6218,-492.793,1894.49,0.365033,-0.202651,0.639774,0.645269
-111.721,-468.375,1810.49,0.316187,0.214056,0.557674,0.737025
-269.611,-311.285,1802.21,0.311581,0.217533,0.556327,0.738984
-402.65,-179.864,1797.5,0.273128,-0.199142,-0.230299,0.912527
-466.598,-139.971,1778.77,0.565702,-0.109501,-0.284086,0.766346
-495.878,-58.9868,1792.16,0.565702,-0.109501,-0.284086,0.766346
-465.659,-84.9861,1823.15,0.489598,0.257517,0.403308,0.728918
-47.6397,-88.2937,1936.27,0.244126,0.683121,-0.629106,-0.279239
-38.5477,-231.381,1924.12,0.23509,0.702849,-0.606985,-0.286888
-27.21,-345.047,1910.55,0.240688,0.678942,-0.663593,-0.201872
-19.9837,-519.839,1918.04,-0.256101,-0.62354,0.715902,0.18192
-36.6218,-492.793,1894.49,0.365033,-0.202651,0.639774,0.645269
-111.721,-468.375,1810.49,0.316187,0.214056,0.557674,0.737025
-269.611,-311.285,1802.21,0.311581,0.217533,0.556327,0.738984
-402.65,-179.864,1797.5,0.273128,-0.199142,-0.230299,0.912527
-466.598,-139.971,1778.77,0.565702,-0.109501,-0.284086,0.766346
